行政区域,房屋名称,时间,价格(万),平均价格,房屋户型,总层数,建筑面积,户型结构,建筑类型,房屋朝向,建成年代,装修情况,建筑结构,梯户比例,配备电梯,所在楼层
南通经济技术开发区,世茂公元 2室1厅 67.63平米,20211123,125,18409,2室1厅,32,67.63,平层,板楼,南,2015,精装,钢混结构,两梯六户,有,中楼层
南通经济技术开发区,南通雅居乐花园 3室2厅 97.94平米,20211123,174,17726,3室2厅,33,97.94,平层,板塔结合,南,未知,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,万科翡翠公园 3室2厅 116.49平米,20211114,203,17427,3室2厅,27,116.49,平层,板塔结合,南,未知,精装,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,世茂公元 2室2厅 67.82平米,20211122,105,15483,2室2厅,32,67.82,平层,板楼,南,2015,简装,钢混结构,两梯六户,有,高楼层
南通经济技术开发区,龙田花苑一期 2室1厅 103.43平米,20211114,116,11158,2室1厅,17,103.43,平层,板塔结合,南,未知,毛坯,钢混结构,一梯三户,有,中楼层
南通经济技术开发区,正泰江岸水苑 1室1厅 40.34平米,20211122,19,4661,1室1厅,29,40.34,平层,板塔结合,南,2019,毛坯,钢混结构,两梯二十二户,有,中楼层
南通经济技术开发区,世茂九龙庭 3室1厅 89.55平米,20211113,146,16304,3室1厅,33,89.55,平层,板塔结合,南,2018,其他,钢混结构,两梯八户,有,低楼层
南通经济技术开发区,春风南岸东园 4室2厅 136平米,20211122,235,17280,4室2厅,18,136,平层,板塔结合,南,2020,精装,钢混结构,两梯一户,有,低楼层
南通经济技术开发区,世家花园 2室1厅 88平米,20211113,112,12728,2室1厅,18,88,平层,板塔结合,南,未知,毛坯,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,鑫湖国贸中心 1室1厅 30.76平米,20211122,16,5202,1室1厅,30,30.76,平层,板塔结合,南西,2018,精装,钢混结构,六梯四十四户,有,中楼层
南通经济技术开发区,星富花园 3室2厅 137.88平米,20211113,159,11518,3室2厅,10,137.88,暂无数据,板塔结合,南,未知,精装,砖混结构,一梯两户,暂无数据,中楼层
南通经济技术开发区,南通雅居乐花园 3室2厅 126.96平米,20211121,159,12485,3室2厅,34,126.96,平层,板塔结合,南,未知,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,炜赋星湖邻里 3室1厅 135.42平米,20211113,191,14105,3室1厅,11,135.42,平层,板塔结合,南,2010,精装,钢混结构,一梯两户,无,低楼层
南通经济技术开发区,林肯公园 3室2厅 114.09平米,20211112,164,14375,3室2厅,27,114.09,平层,板塔结合,南,2018,精装,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,星辰花园 3室1厅 102.39平米,20211121,102,9923,3室1厅,6,102.39,平层,板楼,南,未知,简装,钢混结构,一梯两户,暂无数据,高楼层
南通经济技术开发区,恒大悦珑湾 3室2厅 123.65平米,20211121,155,12536,3室2厅,26,123.65,平层,板楼,南,未知,精装,混合结构,两梯四户,有,中楼层
南通经济技术开发区,林肯公园 4室2厅 122.37平米,20211112,210,17162,4室2厅,6,122.37,平层,板塔结合,南,未知,精装,钢混结构,一梯两户,有,高楼层
南通经济技术开发区,富民新村(南通经济技术开发区) 1室1厅 41.8平米,20211109,51,12082,1室1厅,6,41.8,平层,板楼,东,1997,精装,钢混结构,一梯两户,无,高楼层
南通经济技术开发区,海韵花园 2室2厅 90.3平米,20211121,108,11961,2室2厅,17,90.3,平层,板塔结合,南,2014,毛坯,砖混结构,两梯四户,有,低楼层
南通经济技术开发区,星海花园 3室2厅 94.12平米,20211109,127,13494,3室2厅,6,94.12,平层,板塔结合,南,2005,精装,钢混结构,一梯两户,无,低楼层
南通经济技术开发区,南通雅居乐花园 3室2厅 115.31平米,20211121,186,16114,3室2厅,34,115.31,平层,板塔结合,南,2010,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,军山花园 1室1厅 56.71平米,20211109,96,16929,1室1厅,6,56.71,平层,板楼,南,2015,毛坯,钢混结构,一梯六户,有,高楼层
南通经济技术开发区,世茂公元 4室2厅 140.75平米,20211121,239,16981,4室2厅,33,140.75,平层,板楼,南,未知,精装,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,优山美地花园南区 3室2厅 141.64平米,20211121,234,16521,3室2厅,11,141.64,错层,板楼,南,未知,简装,钢混结构,一梯两户,有,中楼层
南通经济技术开发区,世茂九龙庭 3室2厅 126.28平米,20211108,188,14888,3室2厅,18,126.28,平层,板塔结合,南,2018,精装,钢混结构,两梯七户,有,低楼层
南通经济技术开发区,中兴兰溪荟 3室2厅 142.52平米,20211120,220,15437,3室2厅,34,142.52,平层,平房,南,未知,精装,框架结构,两梯一户,有,低楼层
南通经济技术开发区,瑞兴花园 3室2厅 132.57平米,20211108,148,11164,3室2厅,18,132.57,平层,板楼,南,2012,精装,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,江海花园 2室1厅 81.09平米,20211120,77,9496,2室1厅,5,81.09,平层,板楼,南,未知,简装,钢混结构,一梯两户,暂无数据,低楼层
南通经济技术开发区,世茂九龙庭 3室2厅 101.86平米,20211108,162,15905,3室2厅,28,101.86,平层,板塔结合,南,2013,毛坯,钢混结构,四梯六户,有,中楼层
南通经济技术开发区,枫丹酩悦 3室2厅 116.17平米,20211108,120,10330,3室2厅,11,116.17,平层,板楼,南,未知,精装,钢混结构,一梯两户,有,高楼层
南通经济技术开发区,春风南岸东园 4室2厅 135.56平米,20211120,236,17410,4室2厅,18,135.56,平层,板塔结合,南,未知,其他,钢混结构,两梯一户,有,低楼层
南通经济技术开发区,炜赋花苑 2室1厅 78.45平米,20211120,129,16393,2室1厅,18,78.45,暂无数据,板楼,南,未知,精装,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,山景水岸 3室2厅 96.58平米,20211107,185,19156,3室2厅,18,96.58,平层,板楼,南,2016,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,金科廊桥水岸 3室2厅 129.29平米,20211107,120,9282,3室2厅,26,129.29,平层,板塔结合,南,2013,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,龙田花苑一期 2室1厅 90.72平米,20211120,90,9921,2室1厅,21,90.72,复式,板塔结合,南,未知,毛坯,钢混结构,一梯两户,暂无数据,高楼层
南通经济技术开发区,春风南岸东园 4室2厅 214.88平米,20211107,420,19546,4室2厅,25,214.88,平层,板塔结合,南,未知,精装,钢混结构,两梯两户,有,中楼层
南通经济技术开发区,春天花园 4室2厅 140.69平米,20211119,142,10094,4室2厅,9,140.69,平层,板塔结合,南,2012,毛坯,钢混结构,一梯两户,有,低楼层
南通经济技术开发区,南通橡树湾 2室2厅 87.87平米,20211024,150,16989,2室2厅,18,87.87,平层,板楼,南,未知,精装,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,南通橡树湾 2室2厅 90.41平米,20211107,162,17919,2室2厅,33,90.41,平层,板楼,南北,未知,精装,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,星海花园 2室2厅 95.19平米,20211024,131,13720,2室2厅,9,95.19,平层,板楼,南,2010,精装,钢混结构,一梯两户,有,中楼层
南通经济技术开发区,南通雅居乐花园 3室2厅 100.01平米,20211106,167,16649,3室2厅,34,100.01,平层,板塔结合,南,2013,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,时代尚城 3室2厅 108.95平米,20211024,140,12850,3室2厅,16,108.95,平层,板楼,南,2019,精装,混合结构,两梯三户,有,高楼层
南通经济技术开发区,江景瑞园 3室2厅 90.62平米,20211104,110,12072,3室2厅,17,90.62,平层,板塔结合,南,未知,精装,钢混结构,两梯五户,有,低楼层
南通经济技术开发区,世家花园 2室1厅 70平米,20211024,79,11215,2室1厅,18,70,平层,板楼,南北,2014,简装,钢混结构,两梯两户,有,低楼层
南通经济技术开发区,龙田花苑二期 2室2厅 107平米,20211103,138,12898,2室2厅,16,107,平层,板楼,南,未知,毛坯,框架结构,两梯三户,有,低楼层
南通经济技术开发区,富新社区 3室1厅 72.64平米,20211023,89,12253,3室1厅,6,72.64,平层,板楼,南,1993,毛坯,钢混结构,一梯两户,无,低楼层
南通经济技术开发区,富民新村(南通经济技术开发区) 1室1厅 41.8平米,20211103,55,12934,1室1厅,6,41.8,平层,板楼,南,1998,简装,钢混结构,一梯两户,无,中楼层
南通经济技术开发区,世家花园 2室2厅 88.14平米,20211023,111,12549,2室2厅,18,88.14,平层,板楼,南,未知,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,世家花园 2室1厅 72平米,20211103,80,11112,2室1厅,24,72,平层,板楼,南,2000,毛坯,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,景瑞御府 3室1厅 120平米,20211023,200,16667,3室1厅,33,120,平层,板楼,南,2017,毛坯,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,富民新村(南通经济技术开发区) 2室1厅 62.27平米,20211102,89,14293,2室1厅,6,62.27,平层,板楼,南,1993,精装,钢混结构,八梯两户,有,中楼层
南通经济技术开发区,军山花园 3室2厅 143.96平米,20211101,267,18533,3室2厅,6,143.96,平层,板楼,南,未知,精装,钢混结构,一梯两户,无,高楼层
南通经济技术开发区,万和家园（开发区） 2室1厅 72.08平米,20211023,98,13569,2室1厅,18,72.08,平层,板楼,南,2014,简装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,金科廊桥水岸 3室2厅 86.85平米,20211023,94,10766,3室2厅,30,86.85,平层,塔楼,南,2016,毛坯,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,世茂九龙庭 4室2厅 128平米,20211101,207,16157,4室2厅,18,128,平层,板塔结合,南,2020,精装,钢混结构,两梯两户,有,低楼层
南通经济技术开发区,滨江丽都桥语 3室2厅 100.59平米,20211023,109,10837,3室2厅,11,100.59,平层,塔楼,南,未知,精装,钢混结构,三梯两户,有,中楼层
南通经济技术开发区,星港湾花园 3室2厅 111.05平米,20211101,83,7439,3室2厅,5,111.05,平层,板楼,南,未知,简装,钢混结构,一梯两户,无,中楼层
南通经济技术开发区,世家花园 2室2厅 101平米,20211023,100,9892,2室2厅,6,101,平层,板楼,南,未知,毛坯,钢混结构,一梯两户,无,中楼层
南通经济技术开发区,富新社区 3室1厅 74.63平米,20211031,100,13373,3室1厅,5,74.63,平层,板楼,南北,1996,精装,钢混结构,一梯两户,暂无数据,中楼层
南通经济技术开发区,世家花园 3室2厅 134平米,20211023,132,9851,3室2厅,18,134,平层,板楼,南,2013,毛坯,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,万科翡翠公园 3室1厅 115.66平米,20211031,165,14266,3室1厅,27,115.66,平层,板塔结合,南,2021,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,世家花园 3室2厅 113.89平米,20211031,128,11196,3室2厅,18,113.89,复式,板楼,南,2014,精装,钢混结构,两梯两户,有,高楼层
南通经济技术开发区,炜赋花苑 2室2厅 91.7平米,20211021,132,14373,2室2厅,18,91.7,平层,板楼,南,2014,精装,框架结构,两梯四户,有,低楼层
南通经济技术开发区,万和家园（开发区） 2室1厅 65.02平米,20211021,96,14642,2室1厅,18,65.02,平层,板楼,南,2013,简装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,美佳盛庭 3室2厅 97.6平米,20211031,150,15369,3室2厅,32,97.6,平层,板塔结合,南,2020,毛坯,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,万和家园（开发区） 2室1厅 72.53平米,20211021,102,14064,2室1厅,18,72.53,平层,板楼,南,2014,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,海尚家园 3室2厅 135.13平米,20211031,171,12640,3室2厅,18,135.13,平层,板楼,南,2010,毛坯,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,星润花园 1室1厅 54平米,20211031,77,14260,1室1厅,6,54,平层,板楼,南,2011,毛坯,钢混结构,一梯两户,暂无数据,低楼层
南通经济技术开发区,世家花园 2室2厅 101平米,20211020,108,10694,2室2厅,6,101,复式,板楼,南,2014,精装,钢混结构,两梯两户,有,高楼层
南通经济技术开发区,海韵花园 3室2厅 139.6平米,20211031,169,12092,3室2厅,17,139.6,平层,板楼,南,2014,精装,框架结构,两梯两户,有,低楼层
南通经济技术开发区,星月花园 1室1厅 61.04平米,20211020,95,15564,1室1厅,11,61.04,平层,板楼,南,2010,精装,砖混结构,一梯两户,有,中楼层
南通经济技术开发区,竹韵花园 2室1厅 69.01平米,20211031,78,11274,2室1厅,18,69.01,平层,板楼,南,2014,毛坯,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,世茂九龙庭 3室1厅 123平米,20211019,207,16830,3室1厅,9,123,平层,板塔结合,南,2020,精装,钢混结构,两梯八户,有,高楼层
南通经济技术开发区,富新社区 1室1厅 44.1平米,20211031,46,10431,1室1厅,5,44.1,平层,板楼,南,2014,简装,钢混结构,一梯两户,无,高楼层
南通经济技术开发区,恒大悦珑湾 3室2厅 117.1平米,20211019,128,10889,3室2厅,26,117.1,平层,板楼,南,2018,精装,混合结构,两梯四户,有,低楼层
南通经济技术开发区,龙田花苑二期 1室2厅 69.62平米,20211031,84,12037,1室2厅,17,69.62,平层,板楼,南,2013,其他,框架结构,一梯三户,有,低楼层
南通经济技术开发区,碧桂园(南通经济技术开发区) 3室2厅 135.21平米,20211018,199,14704,3室2厅,24,135.21,平层,板塔结合,南,2013,简装,钢混结构,两梯三户,有,中楼层
南通经济技术开发区,万科翡翠公园 3室2厅 117.08平米,20211031,186,15887,3室2厅,27,117.08,平层,板塔结合,南,2020,精装,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,富民新村(南通经济技术开发区) 3室2厅 75平米,20211018,88,11680,3室2厅,6,75,跃层,板楼,南,1998,毛坯,钢混结构,一梯两户,无,高楼层
南通经济技术开发区,江湾国际中心 3室2厅 93.88平米,20211027,96,10173,3室2厅,24,93.88,平层,板塔结合,南,未知,毛坯,钢混结构,一梯八户,有,中楼层
南通经济技术开发区,海上传奇 3室2厅 114平米,20211018,114,10000,3室2厅,30,114,平层,板塔结合,东南,2019,精装,钢混结构,两梯二十二户,有,中楼层
南通经济技术开发区,和融•优山美地名邸 2室1厅 88.61平米,20211026,127,14227,2室1厅,18,88.61,平层,板塔结合,南,2016,毛坯,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,星河湾花园 2室1厅 103平米,20211017,93,8991,2室1厅,6,103,平层,板楼,南,未知,其他,框架结构,一梯两户,暂无数据,中楼层
南通经济技术开发区,新开中苑 3室1厅 90.09平米,20211026,118,13099,3室1厅,6,90.09,平层,板楼,南,2002,毛坯,钢混结构,一梯两户,无,中楼层
南通经济技术开发区,世茂公元 3室2厅 117.79平米,20211017,196,16598,3室2厅,33,117.79,平层,板楼,南北,2013,精装,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,新河路22号 3室2厅 79.4平米,20211026,111,13980,3室2厅,4,79.4,平层,板楼,南,2000,简装,钢混结构,一梯六户,暂无数据,高楼层
南通经济技术开发区,碧桂园(南通经济技术开发区) 3室2厅 97.5平米,20211016,161,16513,3室2厅,25,97.5,平层,板塔结合,南,2013,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,林肯公园 4室2厅 123.3平米,20211026,223,18086,4室2厅,9,123.3,平层,暂无数据,南,2018,其他,未知结构,一梯一户,暂无数据,中楼层
南通经济技术开发区,世家花园 2室2厅 111.47平米,20211016,128,11439,2室2厅,18,111.47,平层,板楼,南,2012,其他,钢混结构,两梯三户,有,高楼层
南通经济技术开发区,林肯公园 3室2厅 113.85平米,20211025,178,15600,3室2厅,26,113.85,平层,板塔结合,南,2019,精装,钢混结构,一梯四户,有,高楼层
南通经济技术开发区,春风南岸西园 3室2厅 95.92平米,20211016,180,18683,3室2厅,26,95.92,平层,板塔结合,南,2021,精装,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,绿地新里城 3室2厅 106.04平米,20211025,143,13448,3室2厅,34,106.04,平层,板塔结合,南,2019,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,万科翡翠公园 4室2厅 138.68平米,20211015,264,19037,4室2厅,9,138.68,平层,板塔结合,南,2019,精装,钢混结构,一梯两户,有,低楼层
南通经济技术开发区,世家花园 2室1厅 68平米,20211024,86,12589,2室1厅,18,68,平层,板楼,南,2015,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,枫丹酩悦 3室2厅 103.73平米,20211015,119,11473,3室2厅,11,103.73,平层,板楼,南,2020,简装,钢混结构,一梯两户,有,高楼层
南通经济技术开发区,新开中苑 2室1厅 71.22平米,20211024,96,13452,2室1厅,6,71.22,平层,板楼,南,2005,简装,钢混结构,一梯两户,暂无数据,低楼层
南通经济技术开发区,春风南岸东园 4室2厅 136.14平米,20211015,252,18511,4室2厅,18,136.14,平层,板塔结合,南,2021,精装,钢混结构,两梯两户,有,高楼层
南通经济技术开发区,景瑞御府 3室2厅 92.2平米,20211015,187,20269,3室2厅,34,92.2,平层,板楼,南北,2017,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,翠园 3室2厅 92.46平米,20211004,184,19901,3室2厅,29,92.46,平层,板塔结合,南北,未知,毛坯,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,南通橡树湾 2室2厅 98.49平米,20211014,163,16500,2室2厅,33,98.49,平层,板楼,南,2012,精装,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,龙田花苑一期 3室2厅 129平米,20211003,140,10853,3室2厅,17,129,平层,板塔结合,南,2010,其他,钢混结构,两梯三户,有,中楼层
南通经济技术开发区,金科廊桥水岸 3室2厅 104.64平米,20211014,94,8965,3室2厅,26,104.64,平层,板塔结合,南,2016,毛坯,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,和融•优山美地名邸 3室2厅 126.96平米,20211003,168,13233,3室2厅,18,126.96,平层,板塔结合,南北,2013,精装,钢混结构,两梯两户,有,低楼层
南通经济技术开发区,枫丹酩悦 3室2厅 103.75平米,20211014,103,9928,3室2厅,11,103.75,平层,板楼,南,2018,精装,钢混结构,一梯两户,有,低楼层
南通经济技术开发区,南通雅居乐花园 3室1厅 127.11平米,20211002,220,17308,3室1厅,34,127.11,平层,板塔结合,南,2018,精装,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,世家花园 2室1厅 101.58平米,20211014,106,10436,2室1厅,6,101.58,平层,板楼,南,2012,毛坯,钢混结构,一梯两户,无,低楼层
南通经济技术开发区,世茂九龙庭 3室2厅 124.01平米,20211002,196,15806,3室2厅,33,124.01,平层,板塔结合,南,未知,毛坯,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,中南熙悦(南通经济技术开发区) 3室2厅 116.79平米,20211013,186,15927,3室2厅,34,116.79,平层,板塔结合,南,2020,精装,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,世家花园 4室2厅 128.36平米,20211001,119,9256,4室2厅,18,128.36,平层,板楼,南,2014,毛坯,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,朝阳花苑 2室2厅 95.95平米,20211013,170,17718,2室2厅,24,95.95,平层,塔楼,南,2016,毛坯,钢混结构,两梯三户,有,高楼层
南通经济技术开发区,军山花园 4室2厅 219.54平米,20211001,327,14895,4室2厅,6,219.54,复式,板楼,南,2015,毛坯,钢混结构,二十梯两户,有,高楼层
南通经济技术开发区,万科翡翠公园 3室2厅 98平米,20211012,200,20409,3室2厅,9,98,平层,板塔结合,南,2020,精装,钢混结构,两梯六户,有,中楼层
南通经济技术开发区,金科廊桥水岸 3室2厅 88.08平米,20211001,103,11672,3室2厅,34,88.08,平层,板塔结合,南,2020,精装,混合结构,两梯四户,有,中楼层
南通经济技术开发区,世茂九龙庭 3室2厅 89.56平米,20211011,162,18067,3室2厅,33,89.56,平层,板塔结合,南,未知,毛坯,钢混结构,两梯八户,有,中楼层
南通经济技术开发区,世茂新界 3室2厅 122.96平米,20210930,205,16673,3室2厅,34,122.96,平层,板塔结合,南,2019,简装,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,万和家园（开发区） 2室1厅 72.08平米,20211011,103,14262,2室1厅,18,72.08,平层,板楼,南,2014,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,江湾国际中心 3室2厅 102.05平米,20210930,97,9506,3室2厅,26,102.05,平层,暂无数据,南,2010,毛坯,未知结构,四梯四户,有,中楼层
南通经济技术开发区,幸福天地二期 2室1厅 88.92平米,20211011,141,15801,2室1厅,29,88.92,平层,板楼,南,2015,毛坯,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,海棠花园 3室1厅 76平米,20211010,120,15790,3室1厅,17,76,平层,板塔结合,南,2017,精装,砖混结构,两梯四户,有,高楼层
南通经济技术开发区,世茂新界 3室2厅 122.81平米,20210930,198,16123,3室2厅,34,122.81,平层,板塔结合,南,2017,毛坯,钢混结构,两梯三户,有,低楼层
南通经济技术开发区,碧桂园云峯中心 2室1厅 73.57平米,20211009,62,8428,2室1厅,18,73.57,平层,塔楼,南,未知,其他,钢混结构,四梯十六户,有,高楼层
南通经济技术开发区,星辰花园 2室2厅 91.68平米,20210929,102,11126,2室2厅,6,91.68,平层,板塔结合,南,未知,简装,钢混结构,四梯两户,有,高楼层
南通经济技术开发区,世茂九龙庭 3室2厅 122.78平米,20211008,195,15883,3室2厅,9,122.78,平层,板塔结合,南北,2019,精装,钢混结构,两梯八户,有,高楼层
南通经济技术开发区,世家花园 3室2厅 140.27平米,20210928,152,10837,3室2厅,18,140.27,平层,板楼,南,未知,精装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,优山美地花园北区 1室1厅 59.03平米,20210926,33,5557,1室1厅,18,59.03,平层,塔楼,南,2010,毛坯,钢混结构,三梯十四户,有,高楼层
南通经济技术开发区,和融•优山美地名邸 3室1厅 123.74平米,20211007,183,14757,3室1厅,33,123.74,平层,板塔结合,南,2015,简装,钢混结构,两梯四户,有,低楼层
南通经济技术开发区,景瑞望府 2室2厅 91.96平米,20211007,158,17182,2室2厅,31,91.96,平层,板楼,南,2012,简装,钢混结构,两梯三户,有,高楼层
南通经济技术开发区,南通雅居乐花园 3室2厅 127.11平米,20210926,195,15342,3室2厅,34,127.11,平层,板塔结合,南,2017,毛坯,钢混结构,两梯四户,有,中楼层
南通经济技术开发区,春天花园 2室2厅 90.51平米,20211007,120,13259,2室2厅,6,90.51,平层,板塔结合,南,2010,简装,钢混结构,一梯两户,无,高楼层
南通经济技术开发区,金科廊桥水岸 2室2厅 77.66平米,20210926,79,10070,2室2厅,30,77.66,平层,板塔结合,南,2014,毛坯,钢混结构,两梯六户,有,低楼层
南通经济技术开发区,正泰江岸水苑 1室1厅 35.74平米,20211007,19,5261,1室1厅,29,35.74,平层,板塔结合,北,2018,精装,钢混结构,两梯二十二户,有,中楼层
南通经济技术开发区,万科翡翠公园 3室2厅 91平米,20210926,161,17671,3室2厅,27,91,平层,板塔结合,南,2019,精装,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,中港白金大厦 1室0厅 30.67平米,20211007,20,6522,1室0厅,30,30.67,平层,板楼,西,2015,精装,钢混结构,四梯四十八户,有,中楼层
南通经济技术开发区,碧桂园(南通经济技术开发区) 3室1厅 134.74平米,20210925,200,14844,3室1厅,30,134.74,平层,板塔结合,南,2015,精装,钢混结构,两梯三户,有,高楼层
南通经济技术开发区,新星苑 2室1厅 97.18平米,20210924,128,13172,2室1厅,6,97.18,平层,板楼,南,未知,毛坯,砖混结构,一梯两户,暂无数据,高楼层
南通经济技术开发区,海棠花园 1室1厅 72平米,20211007,100,13889,1室1厅,18,72,平层,板塔结合,南,2000,简装,钢混结构,两梯四户,有,高楼层
南通经济技术开发区,南通橡树湾 2室2厅 98.43平米,20210924,160,16256,2室2厅,33,98.43,平层,板塔结合,南,2012,精装,钢混结构,两梯三户,有,低楼层
